State,Year,Month,avgtemp(F)
Idaho,2003,4,40.8
Idaho,2003,5,49.9
Idaho,2003,6,59.1
Idaho,2003,7,70.5
Idaho,2003,8,67.7
Idaho,2003,9,56.7
Idaho,2003,10,48.7
Idaho,2003,11,28.2
Idaho,2003,12,28.1
Idaho,2004,1,22.8
Idaho,2004,2,26.3
Idaho,2004,3,39.3
Idaho,2004,4,44.6
Idaho,2004,5,48.9
Idaho,2004,6,58.4
Idaho,2004,7,66.3
Idaho,2004,8,63.7
Idaho,2004,9,53.7
Idaho,2004,10,44.6
Idaho,2004,11,32.7
Idaho,2004,12,28.5
Idaho,2005,1,26.5
Idaho,2005,2,28.5
Idaho,2005,3,35.9
Idaho,2005,4,41.7
Idaho,2005,5,49.9
Idaho,2005,6,54.3
Idaho,2005,7,66.8
Idaho,2005,8,64.8
Idaho,2005,9,54.1
Idaho,2005,10,45.5
Idaho,2005,11,32
Idaho,2005,12,23
Idaho,2006,1,27.9
Idaho,2006,2,24.4
Idaho,2006,3,32.4
Idaho,2006,4,42.8
Idaho,2006,5,51.8
Idaho,2006,6,60.6
Idaho,2006,7,70.1
Idaho,2006,8,63.7
Idaho,2006,9,55.1
Idaho,2006,10,43
Idaho,2006,11,33.1
Idaho,2006,12,25.3
Idaho,2007,1,20.7
Idaho,2007,2,30.9
Idaho,2007,3,38.9
Idaho,2007,4,43
Idaho,2007,5,52
Idaho,2007,6,59.6
Idaho,2007,7,72
Idaho,2007,8,65.4
Idaho,2007,9,54.9
Idaho,2007,10,43.1
Idaho,2007,11,33.5
Idaho,2007,12,23.4
Idaho,2008,1,19.9
Idaho,2008,2,27.6
Idaho,2008,3,30.3
Idaho,2008,4,36.3
Idaho,2008,5,48.9
Idaho,2008,6,56.3
Idaho,2008,7,66.5
Idaho,2008,8,64.8
Idaho,2008,9,55.5
Idaho,2008,10,44.5
Idaho,2008,11,37.1
Idaho,2008,12,22.6
Idaho,2009,1,25
Idaho,2009,2,27.6
Idaho,2009,3,31.4
Idaho,2009,4,40.7
Idaho,2009,5,50.8
Idaho,2009,6,56.3
Idaho,2009,7,65.8
Idaho,2009,8,63.8
Idaho,2009,9,60.1
Idaho,2009,10,39.5
Idaho,2009,11,33
Idaho,2009,12,19.8
Idaho,2010,1,28.2
Idaho,2010,2,28.9
Idaho,2010,3,35.2
Idaho,2010,4,40
Idaho,2010,5,44.1
Idaho,2010,6,55.5
Idaho,2010,7,64.2
Idaho,2010,8,62.8
Idaho,2010,9,56.4
Idaho,2010,10,47.5
Idaho,2010,11,30.5
Idaho,2010,12,26.7
Idaho,2011,1,24
Idaho,2011,2,24.3
Idaho,2011,3,33.4
Idaho,2011,4,36.4
Idaho,2011,5,45.8
Idaho,2011,6,54
Idaho,2011,7,64.3
Idaho,2011,8,66.1
Idaho,2011,9,59.6
Idaho,2011,10,45.4
Idaho,2011,11,30.5
Idaho,2011,12,24.8
Idaho,2012,1,26.8
Idaho,2012,2,28
Idaho,2012,3,36.4
Idaho,2012,4,44.4
Idaho,2012,5,49
Idaho,2012,6,56.9
Idaho,2012,7,68.5
Idaho,2012,8,67.3
Idaho,2012,9,58.4
Idaho,2012,10,43.7
Idaho,2012,11,36
Idaho,2012,12,25.8
Idaho,2013,1,20.2
Idaho,2013,2,27.5
Idaho,2013,3,35.1
Idaho,2013,4,40.1
Idaho,2013,5,51
Idaho,2013,6,59.3
Idaho,2013,7,69.6
Idaho,2013,8,67.6
Idaho,2013,9,57.1
Idaho,2013,10,42.1
Idaho,2013,11,33.8
Idaho,2013,12,21.1
Idaho,2014,1,27.7
Idaho,2014,2,28
Idaho,2014,3,36.2
Idaho,2014,4,41.6
Idaho,2014,5,51.6
Idaho,2014,6,56.7
Idaho,2014,7,69.3
Idaho,2014,8,63.8
Idaho,2014,9,57.6
Idaho,2014,10,48.5
Idaho,2014,11,31.1
Idaho,2014,12,29.1
Idaho,2015,1,28.7
Idaho,2015,2,35.2
Idaho,2015,3,40.8
Idaho,2015,4,42.3
Idaho,2015,5,51.8
Idaho,2015,6,64.7
Idaho,2015,7,65.1
Idaho,2015,8,65.8
Idaho,2015,9,57.2
Idaho,2015,10,50.7
Idaho,2015,11,29.9
Idaho,2015,12,24.3
Illinois,2000,1,27.3
Illinois,2000,2,37.4
Illinois,2000,3,46.2
Illinois,2000,4,51.5
Illinois,2000,5,65.1
Illinois,2000,6,70.3
Illinois,2000,7,73.2
Illinois,2000,8,74.6
Illinois,2000,9,66.3
Illinois,2000,10,58
Illinois,2000,11,38.9
Illinois,2000,12,17.6
Illinois,2001,1,25.7
Illinois,2001,2,30.9
Illinois,2001,3,37.1
Illinois,2001,4,57.7
Illinois,2001,5,64.8
Illinois,2001,6,69.9
Illinois,2001,7,75.9
Illinois,2001,8,74.6
Illinois,2001,9,64.5
Illinois,2001,10,53.9
Illinois,2001,11,49.9
Illinois,2001,12,35.8
Illinois,2002,1,33.6
Illinois,2002,2,34.6
Illinois,2002,3,37.8
Illinois,2002,4,53.5
Illinois,2002,5,59.1
Illinois,2002,6,73.9
Illinois,2002,7,78.2
Illinois,2002,8,75
Illinois,2002,9,69.3
Illinois,2002,10,52.1
Illinois,2002,11,39.6
Illinois,2002,12,32.2
Illinois,2003,1,22.8
Illinois,2003,2,26.4
Illinois,2003,3,41.6
Illinois,2003,4,53.5
Illinois,2003,5,61.1
Illinois,2003,6,67.9
Illinois,2003,7,74.8
Illinois,2003,8,75.3
Illinois,2003,9,64.1
Illinois,2003,10,54.5
Illinois,2003,11,44.8
Illinois,2003,12,33.8
Illinois,2004,1,24.7
Illinois,2004,2,30
Illinois,2004,3,45.4
Illinois,2004,4,54.1
Illinois,2004,5,65.7
Illinois,2004,6,70
Illinois,2004,7,72.8
Illinois,2004,8,68.6
Illinois,2004,9,67.7
Illinois,2004,10,55.4
Illinois,2004,11,45.6
Illinois,2004,12,31
Illinois,2005,1,29.1
Illinois,2005,2,36.1
Illinois,2005,3,39
Illinois,2005,4,55.4
Illinois,2005,5,60.9
Illinois,2005,6,75
Illinois,2005,7,76.3
Illinois,2005,8,75.6
Illinois,2005,9,70.7
Illinois,2005,10,55.7
Illinois,2005,11,44.5
Illinois,2005,12,26
Illinois,2006,1,38.1
Illinois,2006,2,30.9
Illinois,2006,3,41.8
Illinois,2006,4,57
Illinois,2006,5,62.3
Illinois,2006,6,71.4
Illinois,2006,7,77.1
Illinois,2006,8,74.7
Illinois,2006,9,63.7
Illinois,2006,10,51.3
Illinois,2006,11,44.4
Illinois,2006,12,35.3
Illinois,2007,1,30.3
Illinois,2007,2,21.7
Illinois,2007,3,48
Illinois,2007,4,50.3
Illinois,2007,5,67.6
Illinois,2007,6,72.7
Illinois,2007,7,73.3
Illinois,2007,8,78.2
Illinois,2007,9,69.8
Illinois,2007,10,59.9
Illinois,2007,11,42.2
Illinois,2007,12,30.2
Illinois,2008,1,26.9
Illinois,2008,2,26
Illinois,2008,3,39
Illinois,2008,4,51.4
Illinois,2008,5,59
Illinois,2008,6,73.2
