State,Year,Month,avgtemp(F)
Arizona,2009,8,79.7
Arizona,2009,9,74.1
Arizona,2009,10,59.4
Arizona,2009,11,52.9
Arizona,2009,12,39
Arizona,2010,1,42.2
Arizona,2010,2,44.3
Arizona,2010,3,49.2
Arizona,2010,4,56.1
Arizona,2010,5,63.1
Arizona,2010,6,75.9
Arizona,2010,7,81.8
Arizona,2010,8,79
Arizona,2010,9,75.4
Arizona,2010,10,62.7
Arizona,2010,11,48.3
Arizona,2010,12,46.7
Arizona,2011,1,41.5
Arizona,2011,2,41.7
Arizona,2011,3,53.3
Arizona,2011,4,58.9
Arizona,2011,5,63.3
Arizona,2011,6,75.7
Arizona,2011,7,80.8
Arizona,2011,8,82.2
Arizona,2011,9,74.6
Arizona,2011,10,62.8
Arizona,2011,11,49.4
Arizona,2011,12,39.9
Arizona,2012,1,45.3
Arizona,2012,2,45.6
Arizona,2012,3,51.6
Arizona,2012,4,60.6
Arizona,2012,5,69.3
Arizona,2012,6,78.7
Arizona,2012,7,80
Arizona,2012,8,80.5
Arizona,2012,9,73.7
Arizona,2012,10,63.8
Arizona,2012,11,53.8
Arizona,2012,12,42.4
Arizona,2013,1,38.6
Arizona,2013,2,42.2
Arizona,2013,3,54.8
Arizona,2013,4,59.4
Arizona,2013,5,67.4
Arizona,2013,6,79.5
Arizona,2013,7,81.1
Arizona,2013,8,78.5
Arizona,2013,9,72.4
Arizona,2013,10,58.8
Arizona,2013,11,51.3
Arizona,2013,12,41.5
Arizona,2014,1,46.5
Arizona,2014,2,50
Arizona,2014,3,53.9
Arizona,2014,4,59.1
Arizona,2014,5,66.8
Arizona,2014,6,77.7
Arizona,2014,7,81.4
Arizona,2014,8,76.5
Arizona,2014,9,74.2
Arizona,2014,10,64.9
Arizona,2014,11,51.7
Arizona,2014,12,44.3
Arizona,2015,1,45.1
Arizona,2015,2,52
Arizona,2015,3,56.3
Arizona,2015,4,58.4
Arizona,2015,5,62.9
Arizona,2015,6,78.4
Arizona,2015,7,78.6
Arizona,2015,8,80.6
Arizona,2015,9,75
Arizona,2015,10,64.5
Arizona,2015,11,48.3
Arizona,2015,12,40.9
Michigan,2000,1,19.3
Michigan,2000,2,26.5
Michigan,2000,3,38.8
Michigan,2000,4,42.4
Michigan,2000,5,56.6
Michigan,2000,6,63.5
Michigan,2000,7,66.1
Michigan,2000,8,66.1
Michigan,2000,9,58
Michigan,2000,10,50.9
Michigan,2000,11,36.2
Michigan,2000,12,15.9
Michigan,2001,1,23.4
Michigan,2001,2,22.1
Michigan,2001,3,29.4
Michigan,2001,4,46.1
Michigan,2001,5,57.2
Michigan,2001,6,64.4
Michigan,2001,7,68.4
Michigan,2001,8,69.6
Michigan,2001,9,57.7
Michigan,2001,10,47.8
Michigan,2001,11,43.6
Michigan,2001,12,31.9
Michigan,2002,1,27.5
Michigan,2002,2,27.4
Michigan,2002,3,27.4
Michigan,2002,4,43.4
Michigan,2002,5,49.7
Michigan,2002,6,65.6
Michigan,2002,7,72.4
Michigan,2002,8,68
Michigan,2002,9,63.3
Michigan,2002,10,44.5
Michigan,2002,11,33.7
Michigan,2002,12,26
Michigan,2003,1,16.7
Michigan,2003,2,16.3
Michigan,2003,3,29.3
Michigan,2003,4,41.4
Michigan,2003,5,52.8
Michigan,2003,6,62.1
Michigan,2003,7,67.8
Michigan,2003,8,68.8
Michigan,2003,9,59.5
Michigan,2003,10,46.6
Michigan,2003,11,37.7
Michigan,2003,12,28.6
Michigan,2004,1,14.3
Michigan,2004,2,22.6
Michigan,2004,3,34.5
Michigan,2004,4,44.2
Michigan,2004,5,53.8
Michigan,2004,6,62
Michigan,2004,7,66.4
Michigan,2004,8,63.2
Michigan,2004,9,63.3
Michigan,2004,10,49
Michigan,2004,11,38.2
Michigan,2004,12,23.5
Michigan,2005,1,18
Michigan,2005,2,25.3
Michigan,2005,3,27.3
Michigan,2005,4,46.4
Michigan,2005,5,52
Michigan,2005,6,69.4
Michigan,2005,7,70.4
Michigan,2005,8,68.9
Michigan,2005,9,63.7
Michigan,2005,10,50.7
Michigan,2005,11,37.5
Michigan,2005,12,23.1
Michigan,2006,1,29.9
Michigan,2006,2,22.5
Michigan,2006,3,32.4
Michigan,2006,4,47.5
Michigan,2006,5,56.1
Michigan,2006,6,64.3
Michigan,2006,7,71.4
Michigan,2006,8,67.7
Michigan,2006,9,57.3
Michigan,2006,10,44.7
Michigan,2006,11,38.9
Michigan,2006,12,31.5
Michigan,2007,1,24.1
Michigan,2007,2,15.2
Michigan,2007,3,34.8
Michigan,2007,4,41.8
Michigan,2007,5,57.8
Michigan,2007,6,67.1
Michigan,2007,7,68
Michigan,2007,8,68.8
Michigan,2007,9,61.8
Michigan,2007,10,54.4
Michigan,2007,11,35.2
Michigan,2007,12,24.1
Michigan,2008,1,22.8
Michigan,2008,2,18.2
Michigan,2008,3,27
Michigan,2008,4,45.7
Michigan,2008,5,51.2
Michigan,2008,6,64.9
Michigan,2008,7,68.3
Michigan,2008,8,66.5
Michigan,2008,9,60.6
Michigan,2008,10,46.8
Michigan,2008,11,35.7
Michigan,2008,12,20.8
Michigan,2009,1,12.6
Michigan,2009,2,22.9
Michigan,2009,3,31.6
Michigan,2009,4,43.1
Michigan,2009,5,53.7
Michigan,2009,6,62.5
Michigan,2009,7,63.5
Michigan,2009,8,65.4
Michigan,2009,9,60.9
Michigan,2009,10,44.6
Michigan,2009,11,41
Michigan,2009,12,23.6
Michigan,2010,1,21.3
Michigan,2010,2,23.1
Michigan,2010,3,37.6
Michigan,2010,4,49.1
Michigan,2010,5,58.3
Michigan,2010,6,64.9
Michigan,2010,7,71.4
Michigan,2010,8,70.7
Michigan,2010,9,58.1
Michigan,2010,10,49.9
Michigan,2010,11,37.8
Michigan,2010,12,22.8
Michigan,2011,1,16.9
Michigan,2011,2,21.3
Michigan,2011,3,28.8
Michigan,2011,4,42
Michigan,2011,5,55
Michigan,2011,6,64.2
Michigan,2011,7,72.7
Michigan,2011,8,68.3
Michigan,2011,9,58.7
Michigan,2011,10,49.7
Michigan,2011,11,39.9
Michigan,2011,12,29.9
Michigan,2012,1,25.1
Michigan,2012,2,28.4
Michigan,2012,3,44.7
Michigan,2012,4,43.9
Michigan,2012,5,59
Michigan,2012,6,66.5
Michigan,2012,7,73.5
Michigan,2012,8,67.5
Michigan,2012,9,58.4
Michigan,2012,10,47.5
Michigan,2012,11,36.2
Michigan,2012,12,30.5
Michigan,2013,1,23
Michigan,2013,2,20.9
Michigan,2013,3,27.8
Michigan,2013,4,39.5
Michigan,2013,5,56.5
Michigan,2013,6,63.8
Michigan,2013,7,68.8
Michigan,2013,8,66.7
Michigan,2013,9,59.5
Michigan,2013,10,48.9
Michigan,2013,11,34.2
Michigan,2013,12,19.3
Michigan,2014,1,12.3
Michigan,2014,2,12.8
Michigan,2014,3,21
Michigan,2014,4,41.2
Michigan,2014,5,54.6
Michigan,2014,6,65.3
Michigan,2014,7,64.8
Michigan,2014,8,66
Michigan,2014,9,58.8
Michigan,2014,10,47.5
Michigan,2014,11,30.3
Michigan,2014,12,28.2
Michigan,2015,1,16.6
Michigan,2015,2,8
Michigan,2015,3,28.6
Michigan,2015,4,43.2
Michigan,2015,5,57.2
Michigan,2015,6,62.5
Michigan,2015,7,67.9
Michigan,2015,8,66.9
Michigan,2015,9,64.6
Michigan,2015,10,48.9
Michigan,2015,11,41.3
Michigan,2015,12,35.6
Minnesota,2000,1,10.3
Minnesota,2000,2,22.8
Minnesota,2000,3,36.4
Minnesota,2000,4,42.2
Minnesota,2000,5,56.7
Minnesota,2000,6,61.5
Minnesota,2000,7,68.6
Minnesota,2000,8,67.6
Minnesota,2000,9,56.6
Minnesota,2000,10,48.3
Minnesota,2000,11,28.4
Minnesota,2000,12,2.5
Minnesota,2001,1,16
Minnesota,2001,2,6.7
Minnesota,2001,3,24.2
Minnesota,2001,4,43.4
Minnesota,2001,5,56.6
Minnesota,2001,6,65.1
Minnesota,2001,7,70.4
Minnesota,2001,8,69.3
Minnesota,2001,9,57.4
Minnesota,2001,10,44.5
Minnesota,2001,11,40.7
Minnesota,2001,12,22.3
Minnesota,2002,1,18.1
Minnesota,2002,2,23.9
Minnesota,2002,3,19.5
Minnesota,2002,4,40.4
Minnesota,2002,5,49.8
Minnesota,2002,6,67
Minnesota,2002,7,72.2
Minnesota,2002,8,66.5
Minnesota,2002,9,60.5
Minnesota,2002,10,37.7
Minnesota,2002,11,27.8
Minnesota,2002,12,21.2
Minnesota,2003,1,10.1
Minnesota,2003,2,9.9
Minnesota,2003,3,25.8
Minnesota,2003,4,43.4
Minnesota,2003,5,54.3
Minnesota,2003,6,63.6
Minnesota,2003,7,68.8
Minnesota,2003,8,70.2
Minnesota,2003,9,57.9
Minnesota,2003,10,47
Minnesota,2003,11,26.6
Minnesota,2003,12,20.6
Minnesota,2004,1,5.1
Minnesota,2004,2,16.7
Minnesota,2004,3,30.9
Minnesota,2004,4,43.7
Minnesota,2004,5,51.2
Minnesota,2004,6,60.7
Minnesota,2004,7,66.7
Minnesota,2004,8,60.9
Minnesota,2004,9,62.1
Minnesota,2004,10,46.8
Minnesota,2004,11,34
Minnesota,2004,12,16.8
Minnesota,2005,1,7.6
Minnesota,2005,2,20.3
Minnesota,2005,3,26.2
Minnesota,2005,4,47.7
Minnesota,2005,5,52.4
Minnesota,2005,6,67.4
Minnesota,2005,7,70.6
Minnesota,2005,8,66.4
Minnesota,2005,9,61.6
Minnesota,2005,10,47.8
Minnesota,2005,11,32.3
Minnesota,2005,12,16.6
Minnesota,2006,1,24.1
Minnesota,2006,2,12.7
Minnesota,2006,3,29.4
Minnesota,2006,4,48.9
Minnesota,2006,5,56.8
Minnesota,2006,6,65.7
Minnesota,2006,7,73.1
Minnesota,2006,8,67.7
Minnesota,2006,9,56.3
Minnesota,2006,10,42.2
Minnesota,2006,11,32
Minnesota,2006,12,23.9
Minnesota,2007,1,14.5
Minnesota,2007,2,7.7
Minnesota,2007,3,31.7
Minnesota,2007,4,41.2
Minnesota,2007,5,58.7
Minnesota,2007,6,67.2
Minnesota,2007,7,70.6
Minnesota,2007,8,66.5
Minnesota,2007,9,59.2
Minnesota,2007,10,49.4
Minnesota,2007,11,30.4
Minnesota,2007,12,11.7
Minnesota,2008,1,8.5
Minnesota,2008,2,9.5
Minnesota,2008,3,23.5
Minnesota,2008,4,39.6
Minnesota,2008,5,51.5
Minnesota,2008,6,62.9
Minnesota,2008,7,68.5
Minnesota,2008,8,66.9
Minnesota,2008,9,58.7
Minnesota,2008,10,46
Minnesota,2008,11,30.8
Minnesota,2008,12,6.9
Minnesota,2009,1,2.2
Minnesota,2009,2,15
Minnesota,2009,3,26
Minnesota,2009,4,41.9
Minnesota,2009,5,53.4
Minnesota,2009,6,62.3
Minnesota,2009,7,64.1
Minnesota,2009,8,64.2
Minnesota,2009,9,62.6
Minnesota,2009,10,39.9
Minnesota,2009,11,37.8
Minnesota,2009,12,12
Minnesota,2010,1,8.9
Minnesota,2010,2,12.8
Minnesota,2010,3,35.8
Minnesota,2010,4,50
Minnesota,2010,5,56
Minnesota,2010,6,63.8
Minnesota,2010,7,70.4
Minnesota,2010,8,70.2
Minnesota,2010,9,55
Minnesota,2010,10,49.1
Minnesota,2010,11,30.7
Minnesota,2010,12,11.5
Minnesota,2011,1,5
Minnesota,2011,2,13.2
Minnesota,2011,3,23.6
Minnesota,2011,4,41.6
Minnesota,2011,5,53.6
Minnesota,2011,6,63.4
Minnesota,2011,7,72.7
Minnesota,2011,8,68.2
Minnesota,2011,9,57.5
Minnesota,2011,10,49.9
Minnesota,2011,11,32.9
Minnesota,2011,12,22.7
Minnesota,2012,1,18.4
Minnesota,2012,2,22.4
Minnesota,2012,3,41.8
Minnesota,2012,4,45.5
Minnesota,2012,5,58.3
Minnesota,2012,6,66.8
Minnesota,2012,7,74.3
Minnesota,2012,8,66.7
Minnesota,2012,9,57.3
Minnesota,2012,10,43.2
Minnesota,2012,11,31
Minnesota,2012,12,16.8
Minnesota,2013,1,11.4
Minnesota,2013,2,13
Minnesota,2013,3,20.6
Minnesota,2013,4,34
Minnesota,2013,5,53.2
Minnesota,2013,6,63.9
Minnesota,2013,7,69
Minnesota,2013,8,67.8
Minnesota,2013,9,61.5
Minnesota,2013,10,44.9
Minnesota,2013,11,27.6
Minnesota,2013,12,5
Minnesota,2014,1,2.3
Minnesota,2014,2,3.9
Minnesota,2014,3,19.7
Minnesota,2014,4,38.4
Minnesota,2014,5,54.3
Minnesota,2014,6,65
Minnesota,2014,7,66.7
Minnesota,2014,8,67.1
Minnesota,2014,9,58.5
Minnesota,2014,10,46.2
Minnesota,2014,11,21.5
Minnesota,2014,12,20.4
Minnesota,2015,1,13.7
Minnesota,2015,2,5.6
Minnesota,2015,3,30.7
Minnesota,2015,4,44.7
Minnesota,2015,5,54.2
Minnesota,2015,6,64.7
Minnesota,2015,7,69.5
Minnesota,2015,8,65.9
Minnesota,2015,9,63.8
Minnesota,2015,10,47.9
Minnesota,2015,11,36.5
Minnesota,2015,12,24.9
Mississippi,2000,1,47.3
Mississippi,2000,2,53.2
Mississippi,2000,3,59.8
Mississippi,2000,4,61.3
Mississippi,2000,5,74.4
Mississippi,2000,6,78.1
Mississippi,2000,7,82.2
Mississippi,2000,8,83.2
Mississippi,2000,9,75.4
Mississippi,2000,10,65.2
Mississippi,2000,11,52.1
Mississippi,2000,12,38.4
Mississippi,2001,1,40.9
Mississippi,2001,2,52.5
Mississippi,2001,3,51.7
Mississippi,2001,4,66.8
Mississippi,2001,5,71.7
Mississippi,2001,6,76.6
Mississippi,2001,7,81
Mississippi,2001,8,79.7
Mississippi,2001,9,73
Mississippi,2001,10,61.1
Mississippi,2001,11,58.6
Mississippi,2001,12,50.9
Mississippi,2002,1,47.5
Mississippi,2002,2,46
Mississippi,2002,3,54.9
Mississippi,2002,4,66.7
Mississippi,2002,5,70.9
Mississippi,2002,6,77.8
Mississippi,2002,7,81.1
Mississippi,2002,8,80.1
Mississippi,2002,9,77.7
Mississippi,2002,10,67
Mississippi,2002,11,51.6
Mississippi,2002,12,46.6
Mississippi,2003,1,40.5
Mississippi,2003,2,46.7
Mississippi,2003,3,56.4
Mississippi,2003,4,64.3
Mississippi,2003,5,73
Mississippi,2003,6,76.6
Mississippi,2003,7,79.7
Mississippi,2003,8,80.7
Mississippi,2003,9,73.4
Mississippi,2003,10,64.5
Mississippi,2003,11,58.6
Mississippi,2003,12,44.9
Mississippi,2004,1,45.3
Mississippi,2004,2,45.4
Mississippi,2004,3,59.7
Mississippi,2004,4,62.3
Mississippi,2004,5,72.6
Mississippi,2004,6,77.5
Mississippi,2004,7,79.5
Mississippi,2004,8,76.8
Mississippi,2004,9,74.7
Mississippi,2004,10,70.3
Mississippi,2004,11,58.8
Mississippi,2004,12,45.5
Mississippi,2005,1,50.1
Mississippi,2005,2,51.6
Mississippi,2005,3,53.9
Mississippi,2005,4,62.8
Mississippi,2005,5,69.4
Mississippi,2005,6,77.7
Mississippi,2005,7,81
Mississippi,2005,8,82
Mississippi,2005,9,77.9
Mississippi,2005,10,64.1
Mississippi,2005,11,56.7
Mississippi,2005,12,44.2
Mississippi,2006,1,51.5
Mississippi,2006,2,46
Mississippi,2006,3,57.1
Mississippi,2006,4,68.4
Mississippi,2006,5,71.6
Mississippi,2006,6,78.6
Mississippi,2006,7,82
Mississippi,2006,8,83.1
Mississippi,2006,9,73
Mississippi,2006,10,63.4
Mississippi,2006,11,53.5
Mississippi,2006,12,49
Mississippi,2007,1,46.2
Mississippi,2007,2,46
Mississippi,2007,3,61.3
Mississippi,2007,4,61
Mississippi,2007,5,72.2
Mississippi,2007,6,79.2
Mississippi,2007,7,79.1
Mississippi,2007,8,84.2
Mississippi,2007,9,76.7
Mississippi,2007,10,66.5
Mississippi,2007,11,55.1
Mississippi,2007,12,51.9
Mississippi,2008,1,43.5
Mississippi,2008,2,50.1
Mississippi,2008,3,56.3
Mississippi,2008,4,63.1
Mississippi,2008,5,71.1
Mississippi,2008,6,79.2
Mississippi,2008,7,81.2
Mississippi,2008,8,78.5
Mississippi,2008,9,74.1
Mississippi,2008,10,62.6
Mississippi,2008,11,52
Mississippi,2008,12,48.3
Mississippi,2009,1,45.1
Mississippi,2009,2,50.6
Mississippi,2009,3,57.6
Mississippi,2009,4,62.9
Mississippi,2009,5,71.8
Mississippi,2009,6,80.2
Mississippi,2009,7,79.4
Mississippi,2009,8,78.7
Mississippi,2009,9,75.8
Mississippi,2009,10,62.6
Mississippi,2009,11,54.7
Mississippi,2009,12,44.3
Mississippi,2010,1,40.6
Mississippi,2010,2,40.7
Mississippi,2010,3,52.3
Mississippi,2010,4,65.1
Mississippi,2010,5,74.4
Mississippi,2010,6,82.2
Mississippi,2010,7,82.7
Mississippi,2010,8,83.8
Mississippi,2010,9,77.1
Mississippi,2010,10,65.1
Mississippi,2010,11,55.7
Mississippi,2010,12,42.3
Mississippi,2011,1,42.2
Mississippi,2011,2,49.8
Mississippi,2011,3,57.8
Mississippi,2011,4,67
Mississippi,2011,5,70.6
Mississippi,2011,6,82.2
Mississippi,2011,7,82.9
Mississippi,2011,8,83
Mississippi,2011,9,72.5
Mississippi,2011,10,61.3
Mississippi,2011,11,56.1
Mississippi,2011,12,48
Mississippi,2012,1,50.8
Mississippi,2012,2,52.2
Mississippi,2012,3,65.4
Mississippi,2012,4,65.8
Mississippi,2012,5,74.3
Mississippi,2012,6,78.2
Mississippi,2012,7,81.9
Mississippi,2012,8,79.5
Mississippi,2012,9,74.4
Mississippi,2012,10,62.1
Mississippi,2012,11,52
Mississippi,2012,12,51.6
Mississippi,2013,1,49.1
Mississippi,2013,2,49
Mississippi,2013,3,50.4
Mississippi,2013,4,62.1
Mississippi,2013,5,68.9
Mississippi,2013,6,78.9
Mississippi,2013,7,78.8
Mississippi,2013,8,79.7
Mississippi,2013,9,77
Mississippi,2013,10,65.4
Mississippi,2013,11,51.1
Mississippi,2013,12,46.7
Mississippi,2014,1,38.5
Mississippi,2014,2,46.3
Mississippi,2014,3,51.6
Mississippi,2014,4,62.7
Mississippi,2014,5,70.8
Mississippi,2014,6,78.6
Mississippi,2014,7,77.5
Mississippi,2014,8,79.8
Mississippi,2014,9,76.5
Mississippi,2014,10,66.5
Mississippi,2014,11,48.8
Mississippi,2014,12,50.2
Mississippi,2015,1,43.8
Mississippi,2015,2,41.9
Mississippi,2015,3,57.7
Mississippi,2015,4,67
Mississippi,2015,5,72.3
Mississippi,2015,6,79.2
Mississippi,2015,7,82.8
Mississippi,2015,8,80.1
Mississippi,2015,9,76.3
Mississippi,2015,10,66.5
Mississippi,2015,11,59.2
Mississippi,2015,12,56.7
Missouri,2000,1,33
Missouri,2000,2,42.2
Missouri,2000,3,48.2
Missouri,2000,4,54.4
Missouri,2000,5,67.2
Missouri,2000,6,71.2
Missouri,2000,7,76.1
Missouri,2000,8,79.5
Missouri,2000,9,69
Missouri,2000,10,60.1
Missouri,2000,11,39.8
Missouri,2000,12,21.1
Missouri,2001,1,29.4
Missouri,2001,2,34.3
Missouri,2001,3,40.1
Missouri,2001,4,60.5
Missouri,2001,5,65.9
Missouri,2001,6,71.7
Missouri,2001,7,78.9
Missouri,2001,8,77.2
Missouri,2001,9,66.3
Missouri,2001,10,55.8
Missouri,2001,11,51.1
Missouri,2001,12,38.5
Missouri,2002,1,35.1
Missouri,2002,2,37.3
Missouri,2002,3,40.5
Missouri,2002,4,57.3
Missouri,2002,5,61.4
Missouri,2002,6,74.7
Missouri,2002,7,79
Missouri,2002,8,76.9
Missouri,2002,9,70.8
Missouri,2002,10,53.1
Missouri,2002,11,42
Missouri,2002,12,35.7
Missouri,2003,1,27.4
Missouri,2003,2,31.2
Missouri,2003,3,44.6
Missouri,2003,4,56.7
Missouri,2003,5,63.5
Missouri,2003,6,69.2
Missouri,2003,7,78.1
Missouri,2003,8,78.8
Missouri,2003,9,64.8
Missouri,2003,10,57.2
Missouri,2003,11,46.3
Missouri,2003,12,36.3
Missouri,2004,1,29.8
Missouri,2004,2,33.1
Missouri,2004,3,48.3
Missouri,2004,4,56.2
Missouri,2004,5,67.1
Missouri,2004,6,70.8
Missouri,2004,7,74.3
Missouri,2004,8,70.7
Missouri,2004,9,68.5
Missouri,2004,10,58.4
Missouri,2004,11,47.8
Missouri,2004,12,34.7
Missouri,2005,1,33.3
Missouri,2005,2,40.1
Missouri,2005,3,43.4
Missouri,2005,4,56.8
Missouri,2005,5,63.2
Missouri,2005,6,75.2
Missouri,2005,7,78
Missouri,2005,8,77.9
Missouri,2005,9,72
Missouri,2005,10,56.9
Missouri,2005,11,47.3
Missouri,2005,12,30.9
Missouri,2006,1,41.2
Missouri,2006,2,34.3
Missouri,2006,3,45.9
Missouri,2006,4,60.9
Missouri,2006,5,64.6
Missouri,2006,6,73.5
Missouri,2006,7,78.9
Missouri,2006,8,78.4
Missouri,2006,9,64.9
Missouri,2006,10,53.9
Missouri,2006,11,46.5
Missouri,2006,12,38.2
Missouri,2007,1,31.7
Missouri,2007,2,29.4
Missouri,2007,3,53
Missouri,2007,4,52.3
Missouri,2007,5,68.3
Missouri,2007,6,73.5
Missouri,2007,7,75.9
Missouri,2007,8,81.3
Missouri,2007,9,70.5
Missouri,2007,10,60
Missouri,2007,11,45.2
Missouri,2007,12,33.2
Missouri,2008,1,30.8
Missouri,2008,2,31.1
Missouri,2008,3,43.2
Missouri,2008,4,52.2
Missouri,2008,5,62.4
Missouri,2008,6,73.5
Missouri,2008,7,76.6
Missouri,2008,8,73.9
Missouri,2008,9,67.2
Missouri,2008,10,55.7
Missouri,2008,11,43.7
Missouri,2008,12,31.1
Missouri,2009,1,27.7
Missouri,2009,2,38.4
Missouri,2009,3,46.5
Missouri,2009,4,53.4
Missouri,2009,5,63.8
Missouri,2009,6,74.6
Missouri,2009,7,72.8
Missouri,2009,8,72.6
Missouri,2009,9,66.6
Missouri,2009,10,50.9
Missouri,2009,11,49.8
Missouri,2009,12,30.6
Missouri,2010,1,25.5
Missouri,2010,2,28.4
Missouri,2010,3,45
Missouri,2010,4,60.5
Missouri,2010,5,64.5
Missouri,2010,6,77.3
Missouri,2010,7,79.1
Missouri,2010,8,79
Missouri,2010,9,68.8
Missouri,2010,10,58.3
Missouri,2010,11,46.5
Missouri,2010,12,29.6
Missouri,2011,1,26.7
Missouri,2011,2,33.2
Missouri,2011,3,45.1
Missouri,2011,4,56.8
Missouri,2011,5,62.8
Missouri,2011,6,75.9
Missouri,2011,7,82.7
Missouri,2011,8,77.8
Missouri,2011,9,64.8
Missouri,2011,10,57.3
Missouri,2011,11,47.4
Missouri,2011,12,37.4
Missouri,2012,1,36.3
Missouri,2012,2,39.9
Missouri,2012,3,58.1
Missouri,2012,4,59
Missouri,2012,5,69.5
Missouri,2012,6,74.8
Missouri,2012,7,83.6
Missouri,2012,8,76.2
Missouri,2012,9,67
Missouri,2012,10,54.3
Missouri,2012,11,45.1
Missouri,2012,12,38.8
Missouri,2013,1,33.8
Missouri,2013,2,34.5
Missouri,2013,3,38.3
Missouri,2013,4,52.1
Missouri,2013,5,63.4
Missouri,2013,6,73
Missouri,2013,7,75
Missouri,2013,8,74.6
Missouri,2013,9,70.7
Missouri,2013,10,55.9
Missouri,2013,11,41.8
Missouri,2013,12,30.3
Missouri,2014,1,25.8
Missouri,2014,2,26.5
Missouri,2014,3,39.5
Missouri,2014,4,55.1
Missouri,2014,5,65.3
Missouri,2014,6,73.7
Missouri,2014,7,72.6
Missouri,2014,8,76.6
Missouri,2014,9,67.1
Missouri,2014,10,57.8
Missouri,2014,11,37.8
Missouri,2014,12,36.7
Missouri,2015,1,31.2
Missouri,2015,2,26.2
Missouri,2015,3,44.5
Missouri,2015,4,57.7
Missouri,2015,5,64.8
Missouri,2015,6,74.3
Missouri,2015,7,77.4
Missouri,2015,8,73.4
Missouri,2015,9,71.6
Missouri,2015,10,57.7
Missouri,2015,11,48.9
Missouri,2015,12,42.4
Montana,2000,1,22.1
Montana,2000,2,26.9
Montana,2000,3,35.5
Montana,2000,4,43.2
Montana,2000,5,51.5
Montana,2000,6,58
Montana,2000,7,68.4
Montana,2000,8,66.9
Montana,2000,9,54.4
Montana,2000,10,43.5
Montana,2000,11,22.1
Montana,2000,12,15.8
Montana,2001,1,24.6
Montana,2001,2,16.5
Montana,2001,3,33.8
Montana,2001,4,41.1
Montana,2001,5,53.3
Montana,2001,6,58.4
Montana,2001,7,67.1
Montana,2001,8,68.9
Montana,2001,9,58.7
Montana,2001,10,42.7
Montana,2001,11,36.3
Montana,2001,12,22.4
Montana,2002,1,22.7
Montana,2002,2,26.4
Montana,2002,3,19.8
Montana,2002,4,37.6
Montana,2002,5,47.5
Montana,2002,6,59.5
Montana,2002,7,69.6
Montana,2002,8,61.3
Montana,2002,9,55.7
Montana,2002,10,36.6
Montana,2002,11,33.9
Montana,2002,12,26.8
Montana,2003,1,24.7
Montana,2003,2,21.4
Montana,2003,3,29.8
Montana,2003,4,44.1
Montana,2003,5,50.1
Montana,2003,6,58.4
Montana,2003,7,70.3
Montana,2003,8,70.1
Montana,2003,9,54.6
Montana,2003,10,47.5
Montana,2003,11,24
Montana,2003,12,25.1
Montana,2004,1,17
Montana,2004,2,24.1
Montana,2004,3,37.5
Montana,2004,4,44.3
Montana,2004,5,48.1
Montana,2004,6,56.1
Montana,2004,7,66.1
Montana,2004,8,62.4
Montana,2004,9,54.1
Montana,2004,10,43.1
Montana,2004,11,33.6
Montana,2004,12,27.4
Montana,2005,1,18.1
Montana,2005,2,28.9
Montana,2005,3,34.6
Montana,2005,4,42.7
Montana,2005,5,49.1
Montana,2005,6,57.7
Montana,2005,7,67.6
Montana,2005,8,63.9
Montana,2005,9,55.4
Montana,2005,10,45.1
Montana,2005,11,33.2
Montana,2005,12,20.5
Montana,2006,1,31.4
Montana,2006,2,23.4
Montana,2006,3,30.6
Montana,2006,4,44.9
Montana,2006,5,52.9
Montana,2006,6,61.6
Montana,2006,7,71.2
Montana,2006,8,65.5
Montana,2006,9,54.8
Montana,2006,10,40.4
Montana,2006,11,30.3
Montana,2006,12,25.5
Montana,2007,1,21.8
Montana,2007,2,22
Montana,2007,3,38.9
Montana,2007,4,40.9
Montana,2007,5,52.1
Montana,2007,6,60.7
Montana,2007,7,73.3
Montana,2007,8,65.8
Montana,2007,9,55
Montana,2007,10,44.6
Montana,2007,11,31.6
Montana,2007,12,21.7
Montana,2008,1,18.1
Montana,2008,2,24.2
Montana,2008,3,31.2
Montana,2008,4,37.6
Montana,2008,5,49.6
Montana,2008,6,56.7
Montana,2008,7,66.5
Montana,2008,8,65.6
Montana,2008,9,53.7
Montana,2008,10,43.7
Montana,2008,11,35.8
Montana,2008,12,14
Montana,2009,1,21.1
Montana,2009,2,25.1
Montana,2009,3,28.3
Montana,2009,4,39.9
Montana,2009,5,50.5
Montana,2009,6,56.6
Montana,2009,7,64.6
Montana,2009,8,63.4
Montana,2009,9,60.7
Montana,2009,10,36.4
Montana,2009,11,35.2
Montana,2009,12,12
Montana,2010,1,20.6
Montana,2010,2,21.1
Montana,2010,3,36.2
Montana,2010,4,41.6
Montana,2010,5,46.3
Montana,2010,6,57.5
Montana,2010,7,64.3
Montana,2010,8,63.8
Montana,2010,9,54.1
Montana,2010,10,47.6
Montana,2010,11,26.6
Montana,2010,12,19
Montana,2011,1,19.1
Montana,2011,2,16.4
Montana,2011,3,28.6
Montana,2011,4,37.7
Montana,2011,5,47.1
Montana,2011,6,56.3
Montana,2011,7,66.6
Montana,2011,8,66.8
Montana,2011,9,58.3
Montana,2011,10,45.9
Montana,2011,11,30
Montana,2011,12,26.2
Montana,2012,1,25.1
Montana,2012,2,24.9
Montana,2012,3,39.4
Montana,2012,4,44.8
Montana,2012,5,49.5
